表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
ツマベニチョウ,ツマベニチョウ|Great Orange Tip,白い翅先に橙赤、黒い縁が南国の空に跳ねる,#F6F6F4,翅の白,#E56E2D,翅先の橙赤,#111111,翅端の黒,#33C035,花影の緑,v|s|lt,,セパレーション
ミカドアゲハ,ミカドアゲハ|Common Jay,淡青緑の斑を黒翅が囲み、赤斑が小さく灯る,#52ACC1,翅斑の淡青緑,#111111,翅地の黒,#AC2C40,後翅の赤斑,#F6F6F4,縁毛の白,s|dp|ltg,,セパレーション
ジャコウアゲハ,ジャコウアゲハ|Chinese Windmill,黒い翅と赤い胴、白斑が風に細長く流れる,#111111,翅の黒,#9B1735,胴の暗紅,#A250B7,吸蜜花の紫,#378134,林縁の緑,s|dp|dk,,セパレーション
モンキアゲハ,モンキアゲハ|Red Helen,黒翅に大きな白紋、後翅の紅斑が深く映える,#111111,翅の黒,#F6F6F4,大白紋の白,#771B23,後翅の紅斑,#8A6742,胴の焦茶,s|dp|dk,,セパレーション
ギフチョウ,ギフチョウ|Japanese Luehdorfia,黄黒の縞に青と紅、春の林床を低く舞う,#F4E77A,翅帯の黄,#111111,翅帯の黒,#2151C4,後翅の青斑,#D14F40,尾端の紅,v|s|dp,,中差色相配色
ヒメギフチョウ,ヒメギフチョウ|Small Luehdorfia,淡黄と黒の縞、橙赤と青の小斑が春草に浮かぶ,#ECD932,翅帯の淡黄,#111111,翅帯の黒,#DEA765,後翅の橙赤,#266394,後翅の青斑,v|s|dp,,中差色相配色
キベリタテハ,キベリタテハ|Camberwell Beauty,焦茶の翅を黄いろい縁が囲み、青斑が連なる,#4F372E,翅地の焦茶,#E5BB50,翅縁の黄,#3F78CF,縁内の青斑,#111111,触角の黒,s|d|dp,,セパレーション
クジャクチョウ,クジャクチョウ|Peacock Butterfly,赤褐色の翅に青い眼状紋、黒い縁が鮮烈,#A15326,翅地の赤褐色,#228DCE,眼状紋の青,#EDD792,眼状紋の黄,#111111,翅縁の黒,v|s|dp,,コンプレックスハーモニー
コムラサキ,コムラサキ|Lesser Purple Emperor,褐色の翅に紫青の光、白帯が木漏れ日に浮く,#773D28,翅地の褐色,#AA30BF,構造色の紫,#F6F6F4,翅帯の白,#E99125,眼状紋の橙,s|d|ltg,ラメ,コンプレックスハーモニー
リュウキュウムラサキ,リュウキュウムラサキ|Great Eggfly,黒い翅に白斑と青紫の光、南島の花で開く,#111111,翅の黒,#F6F6F4,翅の白斑,#242A6A,翅表の青紫,#9ABDE3,縁斑の淡青,s|dp|ltg,ラメ,セパレーション
イシガケチョウ,イシガケチョウ|Common Map,白い翅を黒い地図線が走り、淡茶の影が残る,#F6F6F4,翅地の白,#111111,翅脈の黒,#CEBDAA,翅裏の淡茶,#A04232,複眼の赤茶,d|ltg|dk,,セパレーション
ショウジョウトンボ,ショウジョウトンボ|Crimson Darter,全身の鮮紅、透明な翅と黒い眼が水辺に燃える,#AE121C,胴の鮮紅,#941721,翅脈の赤,#111111,複眼の黒,#9BD7E4,水面の青,v|s|dp,,対照色相配色
