表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
エレガントキヌバネドリ,エレガントキヌバネドリ|Elegant Trogon|Trogon ambiguus,金緑の背と薔薇赤の腹、白帯が森影を切る,#54AA73,背羽の金緑,#CA3A79,腹羽の薔薇赤,#F6F6F4,胸帯の白,#111111,顔羽の黒,s|dp|ltg,ラメ,セパレーション
ゴシキノジコ,ゴシキノジコ|Painted Bunting|Passerina ciris,青い頭、赤い腹と緑の背が草地で鮮烈に響く,#2C8BD7,頭羽の青,#DB3621,腹羽の赤,#36BA3F,背羽の緑,#656938,翼羽の黄緑,v|b|s,,中差色相配色
ルリノジコ,ルリノジコ|Indigo Bunting|Passerina cyanea,全身の瑠璃青、翼陰の濃藍が夏空に溶ける,#2A50D1,体羽の瑠璃,#1F253F,翼羽の濃藍,#888888,嘴の灰,#267C24,枝葉の緑,s|dp|d,,カマイユ配色
ベニフウキンチョウ,ベニフウキンチョウ|Summer Tanager|Piranga rubra,全身の朱赤、黒い瞳と若葉の緑が強く映える,#92252E,体羽の朱赤,#BC1C30,翼陰の深紅,#111111,瞳の黒,#357243,若葉の緑,v|s|dp,,対照色相配色
アオカケス,アオカケス|Blue Jay|Cyanocitta cristata,青い翼、白い腹と黒線が森の光を細く区切る,#2F478D,翼羽の青,#F6F6F4,腹羽の白,#111111,首輪の黒,#9ED2DF,背羽の淡青,s|dp|ltg,,セパレーション
ゴシキドリ,ゴシキドリ|Taiwan Barbet|Psilopogon nuchalis,緑の体、青赤黄の顔が樹冠で宝石のように光る,#3BB15E,体羽の緑,#2D6C90,顔羽の青,#CF4939,額の赤,#EED64D,喉元の黄,v|b|s,ラメ,中差色相配色
サンショクキムネオオハシ,サンショクキムネオオハシ|Keel-billed Toucan|Ramphastos sulfuratus,虹色の嘴、黒い体と黄いろい喉が熱帯を彩る,#939E46,嘴の黄緑,#E51A3E,嘴先の赤,#111111,体羽の黒,#EAD393,喉羽の黄,v|s|dp,,対照色相配色
ヒインコ,ヒインコ|Red Lory|Eos bornea,深紅の体に青い翼、黒い嘴が南国の緑に映える,#B62449,体羽の深紅,#406BD1,翼羽の青,#111111,嘴の黒,#B236C9,尾羽の紫,v|s|dp,,対照色相配色
キンムネオナガテリムク,キンムネオナガテリムク|Golden-breasted Starling|Lamprotornis regius,金いろの胸、青緑の背と紫翼が草原で光る,#C58125,胸羽の金黄,#339692,背羽の青緑,#7F388F,翼羽の紫,#2C962C,頭羽の緑,v|s|dp,ラメ,コンプレックスハーモニー
アカガオサイホウチョウ,アカガオサイホウチョウ|Red-faced Warbler|Cardellina rubrifrons,赤い顔、灰の背と白い腹が高地林に際立つ,#A02214,顔羽の赤,#888888,背羽の灰,#F6F6F4,腹羽の白,#563328,翼羽の濃茶,s|d|ltg,,セパレーション
ニシキフウライウオ,ニシキフウライウオ|Ornate Ghost Pipefish|Solenostomus paradoxus,赤橙の葉状体、白い斑と紫影が珊瑚に紛れる,#D98E87,体表の赤橙,#F6F6F4,斑紋の白,#7B41BD,鰭の紫,#F3EA83,珊瑚の黄,s|d|lt,,コンプレックスハーモニー
テングカワハギ,テングカワハギ|Longnose Filefish|Oxymonacanthus longirostris,青緑の体に橙斑、黄いろい口が枝珊瑚を縫う,#5BD8C5,体表の青緑,#E56F1B,斑点の橙,#D9B655,口先の黄,#111111,眼の黒,v|b|s,,対照色相配色
ナンヨウブダイ,ナンヨウブダイ|Steephead Parrotfish|Chlorurus microrhinos,青緑の鱗、紫の頭と黄緑の縁が礁原を進む,#31646B,鱗の青緑,#5B3C80,頭部の紫,#7E9258,鰭縁の黄緑,#1D3B9A,口元の青,v|s|dp,,類似色相配色
アカモンガラ,アカモンガラ|Pinktail Triggerfish|Melichthys vidua,濃い体色に桃色の尾、白い背鰭が海中で揺れる,#27466D,体表の濃藍,#DFBEC9,尾鰭の桃,#F6F6F4,背鰭の白,#2B715F,口元の青緑,s|dp|dk,,セパレーション
ムラサメモンガラ,ムラサメモンガラ|Picasso Triggerfish|Rhinecanthus aculeatus,黄土の体、青黒の線と橙口が幾何学に交差する,#8F612F,体表の黄土,#2264A1,顔線の青,#111111,眼帯の黒,#E6895A,口元の橙,v|s|d,,中差色相配色
ミヤコテングハギ,ミヤコテングハギ|Orangespine Unicornfish|Naso lituratus,灰青の体、橙の棘と黄いろい尾柄が冴える,#4996C5,体表の灰青,#DA9E5C,尾柄棘の橙,#EBEB38,尾縁の黄,#111111,顔線の黒,s|d|dp,,対照色相配色
キヘリモンガラ,キヘリモンガラ|Yellowmargin Triggerfish|Pseudobalistes flavimarginatus,青灰の体、黄いろい鰭縁と橙口が礁に映える,#98B9DE,体表の青灰,#E5E768,鰭縁の黄,#BE6228,口元の橙,#111111,眼の黒,s|d|b,,対照色相配色
アカククリ,アカククリ|Orbicular Batfish|Platax orbicularis,銀灰の体、黒帯と黄いろい鰭が水中に立つ,#C4C4C4,体表の銀灰,#111111,横帯の黒,#EBBA39,鰭の黄,#E68919,鰭縁の橙,s|dp|ltg,,セパレーション
