表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
アメリカオシ,アメリカオシ|Wood Duck|Aix sponsa,緑の冠羽と栗色の胸、白い線が水辺に映える,#449D80,冠羽の金緑,#8F5538,胸羽の栗茶,#F6F6F4,顔線の白,#A52635,嘴元の赤,s|dp|ltg,ラメ,コンプレックスハーモニー
アンナハチドリ,アンナハチドリ|Anna's Hummingbird|Calypte anna,灰緑の体に紅紫の喉、光の角度で色が燃える,#B62D6C,喉羽の紅紫,#307B3C,背羽の緑,#888888,腹羽の灰,#111111,嘴の黒,v|s|dp,ラメ,対照色相配色
ノドアカハチドリ,ノドアカハチドリ|Ruby-throated Hummingbird|Archilochus colubris,赤い喉と緑の背、白い腹が花影で瞬く,#AA2B26,喉羽の赤,#2F963C,背羽の緑,#F6F6F4,腹羽の白,#111111,嘴の黒,v|s|dp,ラメ,対照色相配色
ヒノドハチドリ,ヒノドハチドリ|Fiery-throated Hummingbird|Panterpe insignis,青緑の喉に橙金の光、紫の胸が虹色に揺れる,#38847C,喉羽の青緑,#D2AD4B,喉元の橙金,#712D9D,胸羽の紫,#358C43,背羽の緑,v|s|dp,ラメ,コンプレックスハーモニー
ウィルソンフウチョウ,ウィルソンフウチョウ|Wilson's Bird-of-Paradise|Cicinnurus respublica,青い頭皮、赤い背と黄いろい首が森で弾ける,#3766C1,頭頂の青,#B11E30,背羽の赤,#DBD656,首羽の黄,#39903E,胸羽の緑,v|b|s,ラメ,中差色相配色
ヒクイドリ,ヒクイドリ|Southern Cassowary|Casuarius casuarius,黒い羽、青い首と赤い肉垂が熱帯林に際立つ,#111111,体羽の黒,#2D65AA,首皮の青,#D63729,肉垂の赤,#B08C39,兜の黄土,s|dp|dk,,セパレーション
キバタン,キバタン|Sulphur-crested Cockatoo|Cacatua galerita,白い羽に硫黄色の冠、灰黒の嘴が輪郭を締める,#F6F6F4,体羽の白,#EFED81,冠羽の硫黄黄,#4A4A4A,嘴の灰黒,#111111,虹彩の黒,b|lt|dp,,セパレーション
モモイロインコ,モモイロインコ|Galah|Eolophus roseicapilla,桃色の胸と灰銀の翼、淡い冠羽が空に映える,#D4A2B0,胸羽の桃,#C4C4C4,翼羽の灰銀,#CD4F61,冠羽の淡桃,#F6F6F4,嘴の白,b|lt|sf,,カマイユ配色
ヨウム,ヨウム|African Grey Parrot|Psittacus erithacus,灰色の羽と鮮紅の尾、黒い嘴が知的に映える,#888888,体羽の灰,#D9242D,尾羽の鮮紅,#111111,嘴の黒,#F6F6F4,顔周りの白,s|dp|ltg,,セパレーション
ギニアエボシドリ,ギニアエボシドリ|Guinea Turaco|Tauraco persa,緑の羽に真紅の風切羽、黒白の目元が冴える,#2B8640,体羽の緑,#A22543,風切羽の真紅,#F6F6F4,目周りの白,#111111,目線の黒,v|s|dp,,セパレーション
パウダーブルータン,パウダーブルータン|Powder Blue Tang|Acanthurus leucosternon,粉青の体、黄いろい背と黒い顔が礁湖を泳ぐ,#70ABCD,体表の粉青,#DEBC4D,背鰭の黄,#111111,顔の黒,#F6F6F4,胸元の白,v|b|s,,セパレーション
フレームエンゼルフィッシュ,フレームエンゼルフィッシュ|Flame Angelfish|Centropyge loricula,炎の赤橙、黒い縞と青い鰭縁が海中で光る,#CF4221,体表の赤橙,#111111,横縞の黒,#2955BB,鰭縁の青,#DC7645,尾部の橙,v|s|dp,,対照色相配色
ソメワケヤッコ,ソメワケヤッコ|Bicolor Angelfish|Centropyge bicolor,鮮黄と濃青が半身で切り替わる鮮烈な魚,#E0D564,前半身の鮮黄,#236FA2,後半身の濃青,#2F3C76,目周りの紫青,#73D4CC,鰭縁の淡青,v|b|s,,補色配色
ハナゴンベ,ハナゴンベ|Geometric Pygmy Hawkfish|Plectranthias inermis,桃橙の体に黄いろい背、紫の斑点が珊瑚に浮かぶ,#DA957F,体表の桃橙,#E0DD54,背部の黄,#873AC2,斑点の紫,#F6F6F4,腹部の白,b|s|lt,,類似色相配色
