表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
キンバト,キンバト|Common Emerald Dove|Chalcophaps indica,金緑の翼と葡萄色の胸、赤い嘴が森に光る,#3C9B77,翼の金緑,#793EA7,胸羽の葡萄色,#AD302B,嘴の赤,#F6F6F4,眉斑の白,s|dp|ltg,ラメ,コンプレックスハーモニー
ヤマショウビン,ヤマショウビン|Black-capped Kingfisher|Halcyon pileata,紺青の翼、橙の腹と赤い嘴が水辺に冴える,#202E44,翼の紺青,#E26321,腹羽の橙,#CF241F,嘴の赤,#F6F6F4,喉羽の白,s|dp|ltg,,セパレーション
ミドリハチクイ,ミドリハチクイ|Green Bee-eater|Merops orientalis,若緑の羽、青い喉と栗茶の頭が空に映える,#34A831,体羽の若緑,#2C7CB5,喉羽の青,#92593A,頭頂の栗茶,#111111,目線の黒,v|s|dp,,ナチュラルハーモニー
ルリスズメダイ,ルリスズメダイ|Blue Damselfish|Chrysiptera cyanea,鮮烈な瑠璃の鱗、黒い瞳が珊瑚礁に浮かぶ,#2754BD,鱗の瑠璃,#59C5C9,鰭の青,#111111,瞳の黒,#F6F6F4,珊瑚砂の白,v|b|dp,,カマイユ配色
ミナミハコフグ,ミナミハコフグ|Yellow Boxfish|Ostracion cubicus,鮮黄の幼魚、黒い水玉が青い海で際立つ,#DFDD71,体表の鮮黄,#111111,斑点の黒,#D0703A,口元の橙,#3E86CD,海水の青,v|b|dp,,セパレーション
クダゴンベ,クダゴンベ|Longnose Hawkfish|Oxycirrhites typus,白い体を赤い格子が走り、黄いろい眼が光る,#F6F6F4,体地の白,#A71F29,格子紋の赤,#EFD96F,眼の黄,#D28C39,珊瑚枝の橙,v|s|lt,,リピテーション配色
モンハナシャコ,モンハナシャコ|Peacock Mantis Shrimp|Odontodactylus scyllarus,緑の甲、橙の脚と青い斑が海底で宝石のよう,#439E5F,甲の緑,#E59050,脚の橙,#3093CC,斑紋の青,#D12732,触角の赤,v|s|dp,ラメ,コンプレックスハーモニー
オトヒメエビ,オトヒメエビ|Banded Coral Shrimp|Stenopus hispidus,白赤の縞と青紫の腹、長い触角が礁陰に伸びる,#F6F6F4,体の白,#E21F24,横帯の赤,#74359B,腹部の青紫,#297099,脚先の青,v|s|lt,,リピテーション配色
ゴシキエビ,ゴシキエビ|Painted Spiny Lobster|Panulirus versicolor,青緑の甲と橙の脚、白い斑が夜の礁で光る,#2F7F76,甲の青緑,#E2A04C,脚の橙,#F6F6F4,斑点の白,#2856A0,触角の青,v|s|dp,ラメ,コンプレックスハーモニー
セグロチョウチョウウオ,セグロチョウチョウウオ|Saddle Butterflyfish|Chaetodon ephippium,黄いろい体、黒い背斑と白い顔が礁原に映える,#E1D457,体側の黄,#111111,背斑の黒,#F6F6F4,顔の白,#D07533,尾鰭の橙,v|s|dp,,セパレーション
