表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
オナガ,オナガ|Cyanopica cyanus,翼淡青と頭部黒。街路樹の空に色が浮かぶ,#92BEDA,翼の淡青,#111111,頭部の黒,#F6F6F4,腹羽の白,#264ACA,尾羽の青,s|d|ltg,,セパレーション
カケス,カケス|Garrulus glandarius,翼斑青と体羽薄茶。雑木林の枝に色が浮かぶ,#1C68AE,翼斑の青,#C8B974,体羽の薄茶,#111111,翼羽の黒,#F6F6F4,喉羽の白,s|d|ltg,,セパレーション
カワラヒワ,カワラヒワ|Chloris sinica,翼帯黄と体羽黄緑。河原の草地に色が浮かぶ,#EFE739,翼帯の黄,#55653E,体羽の黄緑,#7F402C,翼羽の焦茶,#EBE8D6,嘴の淡黄,s|d|ltg,,ナチュラルハーモニー
イカル,イカル|Eophona personata,頭部黒と嘴黄。落葉樹の梢に色が浮かぶ,#111111,頭部の黒,#E0B43C,嘴の黄,#444444,体羽の灰,#F6F6F4,翼斑の白,s|d|ltg,,セパレーション
コイカル,コイカル|Eophona migratoria,頭部黒と嘴黄。林縁の枝に色が浮かぶ,#111111,頭部の黒,#EDEF7F,嘴の黄,#444444,体羽の淡灰,#B93F2D,脇羽の橙茶,s|d|ltg,,ナチュラルハーモニー
シメ,シメ|Coccothraustes coccothraustes,頭羽赤茶と嘴銀灰。冬木の枝に色が浮かぶ,#B76A46,頭羽の赤茶,#C4C4C4,嘴の銀灰,#111111,翼羽の黒,#F6F6F4,翼帯の白,s|d|ltg,ラメ,セパレーション
アカハラ,アカハラ|Turdus chrysolaus,腹羽橙赤と背羽焦茶。林床の落葉に色が浮かぶ,#9A422A,腹羽の橙赤,#503E30,背羽の焦茶,#F6F6F4,喉羽の白,#9C7829,落葉の黄土,s|d|ltg,,ナチュラルハーモニー
マミチャジナイ,マミチャジナイ|Turdus obscurus,眉斑白と胸羽橙。秋の林縁に色が浮かぶ,#F6F6F4,眉斑の白,#DD781E,胸羽の橙,#816248,背羽の薄茶,#EBCF6C,嘴の黄,v|s|dp,,ナチュラルハーモニー
クロツグミ,クロツグミ|Turdus cardis,体羽黒と腹羽白。初夏の森に色が浮かぶ,#111111,体羽の黒,#F6F6F4,腹羽の白,#F0E697,嘴の黄,#29812C,林床の緑,s|d|ltg,,セパレーション
ノビタキ,ノビタキ|Saxicola maurus,頭羽黒と胸羽橙。高原の草地に色が浮かぶ,#111111,頭羽の黒,#EAA75C,胸羽の橙,#F6F6F4,肩羽の白,#BC895A,草穂の黄土,s|d|ltg,,セパレーション
ジョウビタキ,ジョウビタキ|Phoenicurus auroreus,腹羽橙と頭羽銀灰。冬庭の枝に色が浮かぶ,#D94D15,腹羽の橙,#C4C4C4,頭羽の銀灰,#111111,顔羽の黒,#F6F6F4,翼斑の白,s|d|ltg,ラメ,セパレーション
キクイタダキ,キクイタダキ|Regulus regulus,冠羽黄と背羽緑。針葉樹の梢に色が浮かぶ,#F1D550,冠羽の黄,#96AE40,背羽の緑,#111111,翼羽の黒,#F6F6F4,翼帯の白,s|d|ltg,,セパレーション
キセキレイ,キセキレイ|Motacilla cinerea,腹羽黄と背羽灰。渓流の石に色が浮かぶ,#D5DA4B,腹羽の黄,#444444,背羽の灰,#111111,翼羽の黒,#6493C9,渓流の青,s|d|ltg,,ナチュラルハーモニー
ゴシキヒワ,ゴシキヒワ|Carduelis carduelis,顔羽赤と翼帯黄。草原の種子に色が浮かぶ,#D91537,顔羽の赤,#D7C14C,翼帯の黄,#111111,翼羽の黒,#F6F6F4,頬羽の白,v|s|dp,,セパレーション
コウライウグイス,コウライウグイス|Oriolus chinensis,体羽黄と翼羽黒。夏木の梢に色が浮かぶ,#EEC22C,体羽の黄,#111111,翼羽の黒,#9B243B,嘴の赤,#36C232,葉の緑,v|s|dp,,対照色相配色
ヨーロッパハチクイ,ヨーロッパハチクイ|Merops apiaster,喉羽黄と胸羽青緑。乾いた草原に色が浮かぶ,#EAD59F,喉羽の黄,#43D3B3,胸羽の青緑,#BE612A,頭羽の赤茶,#111111,眼帯の黒,s|d|ltg,ラメ,ナチュラルハーモニー
ベニハチクイ,ベニハチクイ|Carmine Bee-eater,体羽紅と頭羽青。川岸の群れに色が浮かぶ,#712031,体羽の紅,#344BA5,頭羽の青,#915935,翼羽の赤茶,#111111,嘴の黒,s|d|ltg,,ナチュラルハーモニー
ルリノドハチクイ,ルリノドハチクイ|Blue-throated Bee-eater,喉羽青と頭羽栗茶。熱帯の水辺に色が浮かぶ,#2767DA,喉羽の青,#AC4B42,頭羽の栗茶,#2DB15B,背羽の緑,#111111,嘴の黒,v|s|dp,,ナチュラルハーモニー
アオムネハチクイ,アオムネハチクイ|Blue-breasted Bee-eater,胸羽青と背羽緑。サバンナの枝に色が浮かぶ,#2D6087,胸羽の青,#398B54,背羽の緑,#F5D78C,喉羽の黄,#111111,眼帯の黒,v|s|dp,,対照色相配色
キバラタイヨウチョウ,キバラタイヨウチョウ|Olive-backed Sunbird,腹羽黄と喉羽濃青。南国の花に色が浮かぶ,#EADC65,腹羽の黄,#242653,喉羽の濃青,#798136,背羽の緑,#D73C58,花の赤,v|s|dp,,ナチュラルハーモニー
ムラサキタイヨウチョウ,ムラサキタイヨウチョウ|Purple Sunbird,体羽紫と胸羽青。乾いた花木に色が浮かぶ,#AA35BF,体羽の紫,#456EC8,胸羽の青,#111111,翼羽の黒,#DBB559,花の黄,v|s|dp,,対照色相配色
ヤマセミ,ヤマセミ|Megaceryle lugubris,冠羽白と斑紋黒。渓谷の水面に色が浮かぶ,#F6F6F4,冠羽の白,#111111,斑紋の黒,#842C20,胸斑の赤茶,#2696DC,水面の青,s|d|ltg,,セパレーション
ヒメヤマセミ,ヒメヤマセミ|Pied Kingfisher,体羽白と斑紋黒。湖畔の杭に色が浮かぶ,#F6F6F4,体羽の白,#111111,斑紋の黒,#A4DCE2,水面の青,#C67F3C,岸辺の黄土,s|d|ltg,,セパレーション
アオショウビン,アオショウビン|White-throated Kingfisher,背羽青と頭羽赤茶。熱帯の水辺に色が浮かぶ,#2A458A,背羽の青,#734A30,頭羽の赤茶,#F6F6F4,喉羽の白,#E7171E,嘴の赤,v|s|dp,,ナチュラルハーモニー
ナンヨウショウビン,ナンヨウショウビン|Collared Kingfisher,背羽青緑と腹羽白。マングローブに色が浮かぶ,#2EAFB7,背羽の青緑,#F6F6F4,腹羽の白,#297769,頭羽の緑青,#111111,嘴の黒,s|d|ltg,ラメ,セパレーション
