表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
ショウジョウコウカンチョウ,ショウジョウコウカンチョウ|Northern cardinal|cardinal bird,真紅の羽、黒い顔と橙の嘴が雪景色に立つ,#A5302A,雄の羽の真紅,#080707,顔の黒,#E07A41,嘴の橙,#F1F1EF,枝雪の白,v|s|dp,,セパレーション
オニオオハシ,オニオオハシ|toco toucan,黒い体と白い喉、巨大な橙の嘴が熱帯を彩る,#322424,体羽の黒,#F1EFEF,喉羽の白,#E49735,嘴の橙,#2477C0,目周りの青,v|s|dp,,対照色相配色
ゴシキセイガイインコ,ゴシキセイガイインコ|rainbow lorikeet,青い頭、緑の翼、橙の胸が一羽に重なる,#3C64CE,頭羽の青,#34A148,翼羽の緑,#C47029,胸羽の橙,#E8DA4C,腹羽の黄,v|b|s,,中差色相配色
コガネメキシコインコ,コガネメキシコインコ|sun conure|sun parakeet,金黄の羽に橙と赤、翼端の緑がきらめく,#D69C42,体羽の金黄,#BC742E,顔羽の橙,#E01F1E,胸羽の赤,#389E5A,翼端の緑,v|b|s,,類似色相配色
ルリカケス,ルリカケス|Lidth's jay,瑠璃の翼、栗色の背、白い斑が奄美の森に映える,#3C89C5,翼羽の瑠璃,#72493B,背羽の栗茶,#F7F5F4,斑羽の白,#212C4E,尾羽の濃藍,s|dp|ltg,,セパレーション
カンムリバト,カンムリバト|Victoria crowned pigeon,青灰の羽、赤紫の胸、白い冠が森陰に浮かぶ,#2355B4,体羽の青灰,#6A3282,胸羽の赤紫,#F8F7F7,冠羽の白,#C83F31,脚の赤,s|d|ltg,,コンプレックスハーモニー
キンシコウ,キンシコウ|golden snub-nosed monkey,金色の毛と青い顔、黒い眼が雪山で際立つ,#CD9F4D,体毛の金色,#3464D5,顔の青,#3C3636,眼の黒,#EBCB5C,胸毛の淡黄,s|dp|lt,ツヤケシ,対照色相配色
マンドリル,マンドリル|mandrill,青い頬と赤い鼻、黄褐色の毛が強烈に響く,#3A73CA,頬の青,#C9382B,鼻筋の赤,#A47230,体毛の黄褐色,#F8F7F6,髭の白,v|s|dp,,補色配色
オカピ,オカピ|okapi,赤茶の胴、白黒の脚縞が森の影に溶け込む,#79342A,胴毛の赤茶,#F7F6F5,脚縞の白,#080707,脚縞の黒,#2B732E,森陰の緑,s|d|dk,ツヤケシ,セパレーション
ベニヘラサギ,ベニヘラサギ|roseate spoonbill,淡桃から紅へ染まる羽、灰色の嘴が水辺を渡る,#D8859C,翼羽の淡桃,#BF616E,肩羽の紅,#8890A3,嘴の灰,#89B6D0,水面の青,b|lt|sf,,類似色相配色
